strategy,complexity,workload,seed,read_avg_ms,read_p95_ms,throughput_qps,load_cv,staleness_pct,router_overhead_ms,avg_cpu_pct,total_queries,total_reads,total_writes,errors,duration_s
round_robin,medium,balanced,142,502.4993235943823,2546.4974000351503,139.21970365421754,0.11459902026083232,0.0,0.0024085342496892666,10.084045584045583,83782,58679,25103,0,601.7970000000205
round_robin,medium,balanced,242,502.72038176552326,2560.5426999973133,138.999650808956,0.11179846338859213,0.0,0.0024540835525846093,10.240112994350282,83593,58648,24945,0,601.390000000014
round_robin,medium,balanced,342,502.0885481103389,2577.0976999774575,138.86856803504185,0.11154721309049608,0.0,0.0021918364819314127,9.723646723646723,83714,58742,24972,1,602.829000000027
round_robin,medium,balanced,442,508.3583600198692,2625.7748000789434,137.86283084998615,0.11230725590178176,0.0,0.0023130193538120967,9.387464387464387,82875,58126,24749,0,601.1410000000615
round_robin,medium,balanced,542,511.5868377804479,2615.3570000315085,136.44195223260644,0.11293064524012646,0.0,0.0023032293448835505,9.958689458689458,82121,57575,24546,0,601.875
round_robin,medium,read_heavy,142,56.538451702151335,208.0514000263065,918.0126003721518,0.46313711753487496,0.0,0.0021200486595741156,9.613960113960113,550937,523690,27247,0,600.1410000000615
round_robin,medium,read_heavy,242,56.557273223306865,208.06069998070598,914.5988940408807,0.4609010405698636,0.0,0.0020808676669622334,9.547008547008547,548945,521265,27680,0,600.2029999999795
round_robin,medium,read_heavy,342,56.911528597620006,208.72700004838407,911.9967475936435,0.4627270106640027,0.0,0.0021026598986624836,9.452991452991453,547354,520187,27167,0,600.170999999973
round_robin,medium,read_heavy,442,57.124982433705235,208.9896999532357,908.4266666666666,0.4627225305254556,0.0,0.0020537728927795245,9.535612535612536,545056,518002,27054,0,600.0
round_robin,medium,read_heavy,542,61.90848795060558,276.6886999597773,836.7496876301541,0.4617880248850509,0.0,0.00205997903519165,9.055555555555555,502259,477126,25133,0,600.25
round_robin,simple,balanced,142,4.107330683231403,11.722400086000562,2239.8150910129157,0.11521094626897782,0.0,0.001070822217044608,8.491666666666667,1344066,940997,403069,0,600.079000000027
round_robin,simple,balanced,242,2.5564616433347163,5.042999982833862,2046.8363311539897,0.11565921368700642,0.0,0.0010281112082220737,6.973611111111111,1228198,859638,368560,0,600.0470000000205
round_robin,simple,balanced,342,3.329991969589497,7.692200015299022,1928.9030344437301,0.11563524562951044,0.0,0.001280411909406188,7.502777777777777,1157554,810205,347349,0,600.109999999986
round_robin,simple,balanced,442,3.626127676156532,8.226100006140769,1825.7080101725317,0.11625338901259959,0.0,0.0014090735876436452,7.7375,1095538,766505,329033,0,600.061999999918
round_robin,simple,balanced,542,3.4468151634381723,7.386899902485311,1736.3578949822524,0.11453432889386789,0.0,0.0013973143182820942,7.3680555555555545,1042004,729825,312179,0,600.109000000055
round_robin,simple,read_heavy,142,14.047213612156867,18.893999978899956,3449.485109936222,0.46194035490060215,0.0,0.001692047450724053,10.008403361344536,2069798,1966362,103436,0,600.030999999959
round_robin,simple,read_heavy,242,14.878309664836802,18.544799997471273,3284.9152793768194,0.4613805610610792,0.0,0.0017390853242413506,10.117647058823529,1971051,1872072,98979,0,600.0310000000754
round_robin,simple,read_heavy,342,14.64161219326711,18.77190009690821,3206.637146756728,0.4620454269351595,0.0,0.0017747398201841719,9.826330532212884,1924133,1828064,96069,0,600.0470000000205
round_robin,simple,read_heavy,442,12.703574937962477,15.648500062525272,3647.524254294088,0.4625234283661143,0.0,0.0016036979748976278,9.936974789915967,2189255,2080402,108853,0,600.2029999999795
round_robin,simple,read_heavy,542,12.254285236227876,15.499599976465106,3686.435,0.46225614307002966,0.0,0.001588142818062667,9.983193277310924,2211861,2101628,110233,0,600.0
weighted_rr,complex,balanced,142,9798.80758973572,43181.68319994584,6.978789047435403,0.447053006077906,0.0,0.01667258963746428,10.121848739495798,4524,3156,1368,0,648.25
weighted_rr,complex,balanced,242,8714.771927129937,41299.83110004105,7.968315634709728,0.44733379578417953,0.0,0.012058434906371117,10.283475783475783,5062,3509,1553,0,635.2660000000615
weighted_rr,complex,balanced,342,8643.784286116079,42556.712400051765,7.9984335226160175,0.4496839473784459,0.0,0.01216423709169497,10.421013852048334,5106,3565,1541,0,638.375
weighted_rr,complex,balanced,442,9160.310353166993,43999.98850002885,7.779044233655183,0.4482999974373118,0.0,0.011925434218395797,9.805797101449274,4832,3331,1501,0,621.155999999959
weighted_rr,complex,balanced,542,8943.389560333957,44519.466100027785,7.7961675275480475,0.44762570113039174,0.0,0.014668626367097579,10.222222222222221,4848,3406,1442,0,621.8439999999246
weighted_rr,complex,read_heavy,142,3025.8433462361054,16317.497899988666,17.266546559185763,0.7460921028282433,0.0,0.01304529717061541,10.491909385113269,10504,9977,527,0,608.3439999999246
weighted_rr,complex,read_heavy,242,2916.66299294551,14948.742300039157,17.8239869013508,0.7500368568934662,0.0,0.012812814743285607,10.466346153846153,10886,10363,523,0,610.75
weighted_rr,complex,read_heavy,342,2942.6716744286264,14855.000900104642,17.567650966162393,0.752711201733506,0.0,0.013212822186544067,10.521035598705502,10817,10312,505,0,615.734000000055
weighted_rr,complex,read_heavy,442,3009.310952289357,15484.95339998044,17.258729753586845,0.7471487576089034,0.0,0.012696128373754372,10.441747572815535,10616,10090,526,0,615.109000000055
weighted_rr,complex,read_heavy,542,2958.335825843056,15508.853900013492,17.656398441371714,0.7415577775482264,0.0,0.013300204146905262,9.957928802588997,10798,10231,567,0,611.5629999999655
weighted_rr,medium,balanced,142,268.87008630646534,1017.4925000173971,254.8456640206709,0.44723673308646256,0.0,0.010584872914529855,10.670903954802261,153202,107036,46166,1,601.155999999959
weighted_rr,medium,balanced,242,269.6750517604833,1017.0375999296084,253.4790574304566,0.44722685489193736,0.0,0.00997300851458898,10.687853107344631,152329,106894,45435,0,600.9529999999795
weighted_rr,medium,balanced,342,260.55023308669524,1036.2926999805495,261.3936666050724,0.447251307918179,0.0,0.00903163515660229,10.713276836158192,156975,110122,46853,3,600.530999999959
weighted_rr,medium,balanced,442,266.53373394274473,1033.2317999564111,256.30492771768974,0.44722015794466796,0.0,0.009227202461220144,10.733618233618232,153927,107696,46231,0,600.5620000000345
weighted_rr,medium,balanced,542,273.25018171814315,1037.8388999961317,249.82856534155675,0.4472197230556558,0.0,0.00919783944425376,10.720338983050846,150100,105217,44883,0,600.8120000000345
weighted_rr,medium,read_heavy,142,34.46661454543378,171.06339999008924,1472.5781761426545,0.7470874651384125,0.0,0.009440281090390738,10.747863247863245,884052,840158,43894,0,600.3429999999935
weighted_rr,medium,read_heavy,242,39.75543978501676,193.85729997884482,1280.5476001258667,0.7457853816948197,0.0,0.009633714496849247,10.74928774928775,768609,729924,38685,0,600.219000000041
weighted_rr,medium,read_heavy,342,40.80355787650315,197.2600999288261,1254.111085939729,0.7469537225794368,0.0,0.009231278514284508,10.75071225071225,752878,715444,37434,0,600.3279999999795
weighted_rr,medium,read_heavy,442,38.45533343350333,190.1140999980271,1325.5000233268581,0.7468444815381653,0.0,0.009615806149866055,10.74717514124294,795528,755928,39600,0,600.1719999999041
weighted_rr,medium,read_heavy,542,41.792344632388804,194.7500000242144,1219.4003574338506,0.7469425767302357,0.0,0.009603434257410455,10.74928774928775,732117,695711,36406,0,600.390999999945
weighted_rr,simple,balanced,142,3.4458746927116923,7.392900064587593,1609.6561538691171,0.447211743581742,0.0,0.006307070590600405,7.1375,965945,676161,289784,0,600.094000000041
weighted_rr,simple,balanced,242,3.5004526252627195,7.483899942599237,1232.7595830077912,0.4472111796747704,0.0,0.006590825232957171,7.552777777777778,739906,517947,221959,0,600.2029999999795
weighted_rr,simple,balanced,342,3.867811710830298,8.346199989318848,1596.8848328088995,0.44721368849141746,0.0,0.006739922844212002,7.138888888888889,958182,670843,287339,0,600.0320000000065
weighted_rr,simple,balanced,442,3.956788226112674,8.598300046287477,1592.4199125182254,0.4472155051611418,0.0,0.006826179018224257,7.404166666666666,955651,668882,286769,0,600.125
weighted_rr,simple,balanced,542,3.2555804474684447,7.091999985277653,1606.7903158337917,0.44721654450214593,0.0,0.005826389562347918,6.866666666666667,964124,675429,288695,0,600.030999999959
weighted_rr,simple,read_heavy,142,13.878142192736854,21.681899903342128,3313.80682764363,0.7465047152443327,0.0,0.0076004726830512905,8.471988795518207,1989941,1890532,99409,0,600.5
weighted_rr,simple,read_heavy,242,13.741227404260636,21.166800055652857,3336.3599243351473,0.7460480964556931,0.0,0.00764366136517587,8.669467787114845,2001866,1901384,100482,0,600.015000000014
weighted_rr,simple,read_heavy,342,13.606623839323543,21.40800002962351,3445.289792271853,0.7466145301713252,0.0,0.007385019801588723,8.183473389355742,2067229,1964078,103151,0,600.0160000000615
weighted_rr,simple,read_heavy,442,13.501790567880201,21.038000006228685,3510.2827570690083,0.7469739879218016,0.0,0.007344338032208699,8.942577030812325,2106117,2001421,104696,0,599.984999999986
weighted_rr,simple,read_heavy,542,13.113625200184584,19.83760006260127,3517.425,0.7467539130706664,0.0,0.007360410339641415,9.15126050420168,2110455,2005300,105155,0,600.0
